Repo,FileId,FileExt,PostId,SOUrl,GHUrl
ThePiachu/Go-HTTP-JSON-RPC,5e7fdf35a05b46f19aa47bae66fde81c9d3206e5,N/A,9074356,https://stackoverflow.com/q/9074356,https://raw.githubusercontent.com/ThePiachu/Go-HTTP-JSON-RPC/master/README
jason-deng/C99FunctionOverload,51d2624b543810db6ea307fe8e9f5ab6ac6a0384,N/A,28074198,https://stackoverflow.com/a/28074198,https://raw.githubusercontent.com/jason-deng/C99FunctionOverload/master/README
JonathanGurebo/UITextFieldLimit,ee656e675465750d6b07675cda8c9cc5a2617b78,N/A,23035971,https://stackoverflow.com/a/23035971,https://raw.githubusercontent.com/JonathanGurebo/UITextFieldLimit/master/Documentation
tyybjcc/Design-Patterns-in-java,1883b39d9009bb6ad54c9fa49bc1d8ce2bf17a44,N/A,30400376,https://stackoverflow.com/a/30400376,https://raw.githubusercontent.com/tyybjcc/Design-Patterns-in-java/master/DesignPatterns/src/com/designpattern/extra/servant/note
dvdotsenko/nose_gevent_multiprocess,8d563ce8fbefabfcdc8a6645b920caccb8e73bb6,N/A,20947384,https://stackoverflow.com/a/20947384,https://raw.githubusercontent.com/dvdotsenko/nose_gevent_multiprocess/master/README
tofi86/universalJavaApplicationStub,b2828bb42c74be64489bec609873dfba9af711ba,N/A,17546508,https://stackoverflow.com/a/17546508,https://raw.githubusercontent.com/tofi86/universalJavaApplicationStub/master/src/universalJavaApplicationStub
toursprung/iOS-Screenshot-Automator,a6add719fc490033c1ffdc05bfc1775e6b3a0d02,N/A,14292811,https://stackoverflow.com/a/14292811,https://raw.githubusercontent.com/toursprung/iOS-Screenshot-Automator/master/changeCarrierName
fastnsilver/gwt-datehandling-example,149b8fd489f010f3662ee8f5b62bb5abb978e566,N/A,13214624,https://stackoverflow.com/q/13214624,https://raw.githubusercontent.com/fastnsilver/gwt-datehandling-example/master/README
cirosantilli/linux-kernel-module-cheat,f2f13751063dbc365b862ce005c6b41b3576afe0,N/A,44078245,https://stackoverflow.com/q/44078245,https://raw.githubusercontent.com/cirosantilli/linux-kernel-module-cheat/master/build-buildroot
cirosantilli/linux-kernel-module-cheat,897ef6e871afb5e600aae5d31c0f8479b4a17141,N/A,49840927,https://stackoverflow.com/a/49840927,https://raw.githubusercontent.com/cirosantilli/linux-kernel-module-cheat/master/run
cirosantilli/linux-kernel-module-cheat,897ef6e871afb5e600aae5d31c0f8479b4a17141,N/A,50983650,https://stackoverflow.com/a/50983650,https://raw.githubusercontent.com/cirosantilli/linux-kernel-module-cheat/master/run
dlenski/ttblue,dc18ea0dcd7df6b90de149702d1b23f914adb68f,.c,32152276,https://stackoverflow.com/q/32152276,https://raw.githubusercontent.com/dlenski/ttblue/master/util.c
agladysh/luabins,27ab236cc05faef95109d271a5dc746cebbd2fbe,.c,2269063,https://stackoverflow.com/q/2269063,https://raw.githubusercontent.com/agladysh/luabins/master/src/savebuffer.c
marcoms/btcwatch,5d679e8000dfcd1e463460fc6e55334dc3326ed3,.c,20668530,https://stackoverflow.com/q/20668530,https://raw.githubusercontent.com/marcoms/btcwatch/master/src/main.c
lukego/snabbswitch,e6d95350ba6c40272ab54d83ae2e1a0b6c982f12,.c,27997934,https://stackoverflow.com/q/27997934,https://raw.githubusercontent.com/lukego/snabbswitch/master/src/core/memory.c
cirosantilli/linux-kernel-module-cheat,70f89d1f02b53a016c98c5e611bc35bb6a65e201,.c,44740254,https://stackoverflow.com/q/44740254#comment76558680_44740254,https://raw.githubusercontent.com/cirosantilli/linux-kernel-module-cheat/master/kernel_modules/qemu_edu.c
cirosantilli/linux-kernel-module-cheat,70f89d1f02b53a016c98c5e611bc35bb6a65e201,.c,44739823,https://stackoverflow.com/a/44739823,https://raw.githubusercontent.com/cirosantilli/linux-kernel-module-cheat/master/kernel_modules/qemu_edu.c
cirosantilli/linux-kernel-module-cheat,70f89d1f02b53a016c98c5e611bc35bb6a65e201,.c,44734857,https://stackoverflow.com/a/44734857,https://raw.githubusercontent.com/cirosantilli/linux-kernel-module-cheat/master/kernel_modules/qemu_edu.c
nholthaus/units,6427cc36725d7e775aa6e3f6bbdb54fda2900cb1,.h,35069778,https://stackoverflow.com/q/35069778,https://raw.githubusercontent.com/nholthaus/units/master/include/units.h
Enteee/xt_sslpin,8e9d252b11bc559853c97463ab8d3925df3560bd,.h,38900645,https://stackoverflow.com/q/38900645,https://raw.githubusercontent.com/Enteee/xt_sslpin/master/xt_cert_fingerprint.h
KubaO/stackoverflown,23c0f059052015a82dab4dcde6436c5e9ca51e00,.h,32539990,https://stackoverflow.com/a/32539990,https://raw.githubusercontent.com/KubaO/stackoverflown/master/questions/signal-nice-32539730/posixsignalproxy.h
MattJOlson/DevProjects,57c3f7a70331a9f31cbb91162698bca48476fb2b,.h,30180257,https://stackoverflow.com/q/30180257#comment48466485_30180257,https://raw.githubusercontent.com/MattJOlson/DevProjects/master/sandbox/dailyprogrammer/erdosnumbers/erdos.h
adam-roth/sendSynchronous,47c6a8c677a7e9132e544648b046c9528f8f3eb2,.h,21198404,https://stackoverflow.com/q/21198404,https://raw.githubusercontent.com/adam-roth/sendSynchronous/master/src/NSURLSession+SynchronousRequest.h
chebur/CHRTextFieldFormatter,08bb49b14f7dfb5baae06830b2d169a4ec87afaf,.h,19161529,https://stackoverflow.com/a/19161529,https://raw.githubusercontent.com/chebur/CHRTextFieldFormatter/master/CHRTextFieldFormatter/CHRTextFieldFormatter.h
chebur/CHRTextFieldFormatter,d0f45461a095fe5062d560a9ed935121fafd8a9a,.h,19161529,https://stackoverflow.com/a/19161529,https://raw.githubusercontent.com/chebur/CHRTextFieldFormatter/master/CHRTextFieldFormatter/CHRCardNumberMask.h
kreeger/BDKCollectionIndexView,ec11b8ae530ec1b1207e925933efede39674ddbe,.h,14443540,https://stackoverflow.com/a/14443540,https://raw.githubusercontent.com/kreeger/BDKCollectionIndexView/master/BDKCollectionIndexView.h
IndieGoGo/IGTableViewEstimatedHeightCache,ae5d8c61bd8addcc1e8992eac85200ceb895c1e4,.h,26371697,https://stackoverflow.com/a/26371697,https://raw.githubusercontent.com/IndieGoGo/IGTableViewEstimatedHeightCache/master/Pod/Classes/UITableViewController+IGTableViewEstimatedHeightCache.h
aryaxt/OCMapper,4988fb6b99d8e73749408fe66a61cb5f41eac33e,.m,17268293,https://stackoverflow.com/q/17268293,https://raw.githubusercontent.com/aryaxt/OCMapper/master/OCMapper/Sample/Service Layer/GoogleSearchClient.m
suever/ImageQuiver,4292d465cd6f3362b01794673de2b2a4241959e1,.m,36070755,https://stackoverflow.com/a/36070755,https://raw.githubusercontent.com/suever/ImageQuiver/master/ImageQuiver.m
0xced/XCDYouTubeKit,3511aee11a9c865829cf148107a1956ad7917175,.m,30938525,https://stackoverflow.com/q/30938525,https://raw.githubusercontent.com/0xced/XCDYouTubeKit/master/XCDYouTubeKit Tests/XCTestWorkarounds.m
5teev/MetaPhotoSave,72460b5792875043fce902b6f30c4bc954575a9d,.m,11038316,https://stackoverflow.com/a/11038316,https://raw.githubusercontent.com/5teev/MetaPhotoSave/master/MetaPhotoSaveApp/MetaPhotoSaveApp/MPSAViewController.m
lxcid/LXPagingViews,6160432b8e4720924b2accb03d44575cd29571bb,.m,5618930,https://stackoverflow.com/a/5618930,https://raw.githubusercontent.com/lxcid/LXPagingViews/master/LXPagingViews/PeepingPagingView.m
spilliams/NSToolkit,f2ab4d0d938994050d06c1acdb002b4481b7cad5,.m,18063883,https://stackoverflow.com/a/18063883,https://raw.githubusercontent.com/spilliams/NSToolkit/master/NSImage+Resize.m
ZipArchive/ZipArchive,f8c7c46bc99c5ed34b6cff31031e628b2f66c94a,.m,46927445,https://stackoverflow.com/a/46927445,https://raw.githubusercontent.com/ZipArchive/ZipArchive/master/SSZipArchive/SSZipArchive.m
ZipArchive/ZipArchive,f8c7c46bc99c5ed34b6cff31031e628b2f66c94a,.m,33501154,https://stackoverflow.com/a/33501154,https://raw.githubusercontent.com/ZipArchive/ZipArchive/master/SSZipArchive/SSZipArchive.m
ZipArchive/ZipArchive,f8c7c46bc99c5ed34b6cff31031e628b2f66c94a,.m,53043876,https://stackoverflow.com/q/53043876,https://raw.githubusercontent.com/ZipArchive/ZipArchive/master/SSZipArchive/SSZipArchive.m
hfossli/AGGeometryKit,1067a8452d078df639d4e847f617b0078ddf516f,.m,12820877,https://stackoverflow.com/a/12820877,https://raw.githubusercontent.com/hfossli/AGGeometryKit/master/AGGeometryKit/AGKQuad.m
hfossli/AGGeometryKit,7a41d3baf5e9c8bed30ca73ac550b1cca8c24576,.m,13850972,https://stackoverflow.com/a/13850972,https://raw.githubusercontent.com/hfossli/AGGeometryKit/master/AGGeometryKit/CoreGraphics_Extensions/CGImageRef+AGK+CATransform3D.m
hfossli/AGGeometryKit,e58ab225451e4b46bc8a2bd424d647f77543eb03,.m,13850972,https://stackoverflow.com/a/13850972,https://raw.githubusercontent.com/hfossli/AGGeometryKit/master/AGGeometryKit/Classes/AGKTransformPixelMapper.m
ypresto/AutoLayoutLint,d47f8a420cb85ea915db265526b572c6386e3ad5,.m,33502823,https://stackoverflow.com/a/33502823,https://raw.githubusercontent.com/ypresto/AutoLayoutLint/master/Pod/Classes/PSTAutoLayoutMethodSwizzling.m
ransage/matlab-utilities,22e30ecfc0afcc8defc6c7bbe07a2b42a2a52d9b,.m,1827045,https://stackoverflow.com/a/1827045,https://raw.githubusercontent.com/ransage/matlab-utilities/master/ThirdPartyTools/push_workspace.m
ransage/matlab-utilities,a1dbcc6683df970797a8a8ed077e372095cb2dee,.m,13050111,https://stackoverflow.com/a/13050111,https://raw.githubusercontent.com/ransage/matlab-utilities/master/ThirdPartyTools/handle_light.m
ransage/matlab-utilities,fc39fabc6f7b561dfb9c07945d7bc2be8c4d3a78,.m,1827045,https://stackoverflow.com/a/1827045,https://raw.githubusercontent.com/ransage/matlab-utilities/master/ThirdPartyTools/pop_workspace.m
adam-roth/sendSynchronous,d56b08acc1fca0a08d217f430517760de180fac4,.m,21198404,https://stackoverflow.com/q/21198404,https://raw.githubusercontent.com/adam-roth/sendSynchronous/master/src/NSURLSession+SynchronousRequest.m
spacedrabbit/StackScratchPad,c8d2d527a3c0bcf25e5d6a80ad94ff5c27f5eadd,.m,28653722,https://stackoverflow.com/q/28653722,https://raw.githubusercontent.com/spacedrabbit/StackScratchPad/master/StackScratchPad/ViewController.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/Mathematics/Q2444284/CalcFunGrad.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/Mathematics/Q1462386/CalcFunGrad.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/Mathematics/Q2421545/CalcFunGrad.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/Mathematics/Q2403596/CalcFunGrad.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/Mathematics/Q1781856/CalcFunGrad.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/Mathematics/Q2410741/CalcFunGrad.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/StackOverflow/Q44984132/CalcFunGrad.m
RoyiAvital/StackExchangeCodes,170bf8475bd40a33b8a3aedb3c48d7c504e95240,.m,43099198,https://stackoverflow.com/a/43099198,https://raw.githubusercontent.com/RoyiAvital/StackExchangeCodes/master/CrossValidated/Q122153/CalcFunGrad.m
oseparovic/MessageComposerView,43cbe9fce2d6fc6dd440a84d1f20b882343f73bb,.m,19974246,https://stackoverflow.com/q/19974246,https://raw.githubusercontent.com/oseparovic/MessageComposerView/master/MessageComposerView/MessageComposerView.m
oseparovic/MessageComposerView,43cbe9fce2d6fc6dd440a84d1f20b882343f73bb,.m,31549254,https://stackoverflow.com/q/31549254,https://raw.githubusercontent.com/oseparovic/MessageComposerView/master/MessageComposerView/MessageComposerView.m
kawai-hiroyuki/KHFVideoViewBeta,fb4f2d3bd233085f22df10bb2ae7f6ad4bff53e0,.m,27675187,https://stackoverflow.com/q/27675187,https://raw.githubusercontent.com/kawai-hiroyuki/KHFVideoViewBeta/master/KHFVideoViewBeta/KHFVideoView.m
niklassaers/NJSNotificationCenter,1e16477384268e3c8bb30f0a3ce53b3e4bbe897b,.m,19213506,https://stackoverflow.com/q/19213506,https://raw.githubusercontent.com/niklassaers/NJSNotificationCenter/master/NJSNotificationCenter/NJSNotificationCenter.m
rolandleth/LTHPasscodeViewController,15ee5f975ef84eb4c83c6c40809e024c159487c8,.m,19816142,https://stackoverflow.com/q/19816142,https://raw.githubusercontent.com/rolandleth/LTHPasscodeViewController/master/Demo/LTHPasscodeViewController Demo/LTHDemoViewController.m
rolandleth/LTHPasscodeViewController,9dc6800d9c6a8034f31d8644ac39dd223529a963,.m,19816142,https://stackoverflow.com/q/19816142,https://raw.githubusercontent.com/rolandleth/LTHPasscodeViewController/master/LTHPasscodeViewController/LTHPasscodeViewController.m
GeraldCNelson/nutmod,25155159bab732c7235a5662dc89baa6189fab12,.r,41112062,https://stackoverflow.com/q/41112062,https://raw.githubusercontent.com/GeraldCNelson/nutmod/master/R/diversityMetrics.R
Rdatatable/data.table,5ec1e45818c6f0eadcc07bc28210428b9cdd2e98,.r,13131555,https://stackoverflow.com/a/13131555,https://raw.githubusercontent.com/Rdatatable/data.table/master/R/cedta.R
nachti/datatable_test,19651f44e2c85afd7bdc6bde0d07da158426b87c,.r,41248161,https://stackoverflow.com/q/41248161,https://raw.githubusercontent.com/nachti/datatable_test/master/datatable_reports.R
cliffordwolf/yosys,34373487d3eef9f2ab04e79b43af153ad9bb2094,.cc,32093541,https://stackoverflow.com/q/32093541,https://raw.githubusercontent.com/cliffordwolf/yosys/master/examples/cxx-api/evaldemo.cc
NLog/NLog,afe31c27308b5bc0ed5ba92e0651854306614bf1,.cs,36788754,https://stackoverflow.com/q/36788754,https://raw.githubusercontent.com/NLog/NLog/dev/src/NLog/LayoutRenderers/Wrappers/WrapLineLayoutRendererWrapper.cs
vmelamed/vm,849805330dea47636f6cf36d925a3364358b0f10,.cs,43769230,https://stackoverflow.com/q/43769230,https://raw.githubusercontent.com/vmelamed/vm/master/Aspects/Diagnostics/src/Extensions.cs
dotnet/roslyn,81b34a43f698a86392b1c68d8c8773483d85681e,.cs,39254676,https://stackoverflow.com/q/39254676,https://raw.githubusercontent.com/dotnet/roslyn/master/src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenTests.cs
Virtlink/utilib,2695dffd3ae7fd9c89ceff6ffa63b38fe3eea41c,.cs,39818801,https://stackoverflow.com/a/39818801,https://raw.githubusercontent.com/Virtlink/utilib/master/src/Virtlink.Utilib/Collections/ExtHashSet.cs
ruffin--/UWPBox,0bebccaa60d9d726a15fe5bcdee4fc3e684da041,.cs,35138047,https://stackoverflow.com/q/35138047,https://raw.githubusercontent.com/ruffin--/UWPBox/master/UWPBox/UI/UWPBox.cs
fsateler/MoreLINQ,52d4dcd5cf272e8cacbf99b5f29355ca9124a740,.cs,13503860,https://stackoverflow.com/a/13503860,https://raw.githubusercontent.com/fsateler/MoreLINQ/master/MoreLinq/FullGroupJoin.cs
mcshaz/SimManager,db9a4f9582d0e5446d7508e3920906e0c20642e2,.cs,35681045,https://stackoverflow.com/q/35681045,https://raw.githubusercontent.com/mcshaz/SimManager/master/SP.Tests/SvickMapNavProperty.cs
mcshaz/SimManager,2ed113852eafed05dd2b7cca7418cafb91978e29,.cs,35681045,https://stackoverflow.com/q/35681045,https://raw.githubusercontent.com/mcshaz/SimManager/master/SP.DTOs/MapDictionary/MapNavProperty.cs
mcshaz/SimManager,466370cfaba8fc6396410a6f77f9b7c33df2703c,.cs,35681045,https://stackoverflow.com/q/35681045,https://raw.githubusercontent.com/mcshaz/SimManager/master/SP.Tests/SvickMapNavProperty - Copy.cs
mcshaz/SimManager,9fb6a34ca31380499a016550206b00219c6b1eae,.cs,35681045,https://stackoverflow.com/q/35681045,https://raw.githubusercontent.com/mcshaz/SimManager/master/SP.Tests/StoevMapNavProperty.cs
mcshaz/SimManager,de82a458a8eb3a487c25668eaaa818319e9ac7ae,.cs,35681045,https://stackoverflow.com/q/35681045,https://raw.githubusercontent.com/mcshaz/SimManager/master/SP.Tests/StoevMapNavProperty - Copy.cs
jtara1/MiscScripts,71e713da18e79e0704017e06e6ae177f94b1a3a1,.cs,25656379,https://stackoverflow.com/a/25656379,https://raw.githubusercontent.com/jtara1/MiscScripts/master/misc_scripts/UpdateOSTime.cs
itechnology/JsonRaw,eb02b4599f90079295cb5ec6f6fa8ce70964a4e6,.cs,13843038,https://stackoverflow.com/q/13843038,https://raw.githubusercontent.com/itechnology/JsonRaw/master/implementation/csharp/itechnology/Parser.cs
shanselman/babysmash,b506a1eedce8668237751bff0ece0f5c3f25bba8,.cs,34776593,https://stackoverflow.com/q/34776593,https://raw.githubusercontent.com/shanselman/babysmash/master/Controller.cs
DanielSWolf/MoaiUtils,88355a7be3067325a198691ab7e368d3daaa3d39,.cs,20712653,https://stackoverflow.com/a/20712653,https://raw.githubusercontent.com/DanielSWolf/MoaiUtils/master/MoaiUtils/MoaiParsing/CompactSignature.cs
VictorZakharov/pinwin,60b2edd98dcabc8367e6f9bc9935e56fbd54b54a,.cs,34420599,https://stackoverflow.com/q/34420599,https://raw.githubusercontent.com/VictorZakharov/pinwin/master/PinWin/Controls/OverlayForm.cs
govmeeting/govmeeting,12bd815289e82458d517aab5077c6a8f22a88423,.cs,43814119,https://stackoverflow.com/q/43814119,https://raw.githubusercontent.com/govmeeting/govmeeting/master/src/ProcessRecording_Lib/SplitRecording.cs
petrroll/PowerSwitcher,93287523594523482ccecd057974f48ce01db1b4,.cs,42703092,https://stackoverflow.com/q/42703092,https://raw.githubusercontent.com/petrroll/PowerSwitcher/master/PowerSwitcher/PowerManager.cs
madelson/MedallionShell,cf3cbfee5fac65bd90d45b8f08390171b0d638e5,.cs,5510343,https://stackoverflow.com/q/5510343,https://raw.githubusercontent.com/madelson/MedallionShell/master/MedallionShell/WindowsCommandLineSyntax.cs
tugberkugurlu/MvcBloggy,a4bc7e4e3cfdf9515e35cc92df6103553b84595d,.cs,8762993,https://stackoverflow.com/q/8762993,https://raw.githubusercontent.com/tugberkugurlu/MvcBloggy/develop/src/MvcBloggy.Web/Infrastructure/Filters/RemoveWhitespacesAttribute.cs
PhilippC/keepass2android,d8f6eb774fbd10ae13b216824c5edf6681a0f44c,.cs,54530604,https://stackoverflow.com/q/54530604,https://raw.githubusercontent.com/PhilippC/keepass2android/master/src/keepass2android/GroupBaseActivity.cs
cprcrack/AdaptiveTaskbar,0e47d26d42703f5b2ad1fd752a6b4391f0e99f57,.cs,42861156,https://stackoverflow.com/q/42861156,https://raw.githubusercontent.com/cprcrack/AdaptiveTaskbar/master/Program.cs
StormRider01/ProxCardDemo2,42453ffaddacfb931d64e4f4341daaaaad0169ec,.cs,14939168,https://stackoverflow.com/a/14939168,https://raw.githubusercontent.com/StormRider01/ProxCardDemo2/master/prox.cs
KeilFelix/DynamicProperties,a995fce45d1e0f9ff9f7e2f9d69944beeaf499a8,.cs,46888732,https://stackoverflow.com/q/46888732,https://raw.githubusercontent.com/KeilFelix/DynamicProperties/master/src/DynamicProperties/DynamicPropSerializeTest/Program.cs
hmemcpy/ReSharper.InternalsVisibleTo,aef7ae8e58cf0df53fc0fe6b5169565d830bf76c,.cs,16658541,https://stackoverflow.com/q/16658541,https://raw.githubusercontent.com/hmemcpy/ReSharper.InternalsVisibleTo/master/src/ReSharper.InternalsVisibleTo/KeyUtilities.cs
titanium007/Windows-User-Action-Hook,e41931fbdc3195e6fe75c5309b62b6b5272f1464,.cs,11607133,https://stackoverflow.com/q/11607133,https://raw.githubusercontent.com/titanium007/Windows-User-Action-Hook/master/src/EventHook/Hooks/MouseHook.cs
nexayq/dot_files,4c47b96059457ea87b386fa86410aa5b9cb8fe3d,.el,38655619,https://stackoverflow.com/a/38655619,https://raw.githubusercontent.com/nexayq/dot_files/master/emacs/dot_emacs_d/init.el
kaushalmodi/.emacs.d,9890179060632d727bfc9c7bddf47a48882fefc0,.el,13632665,https://stackoverflow.com/a/13632665,https://raw.githubusercontent.com/kaushalmodi/.emacs.d/master/setup-files/setup-perl.el
kaihendry/lk,83e7a57cc3635d25128640202cdecba4c77dca06,.go,33985208,https://stackoverflow.com/a/33985208,https://raw.githubusercontent.com/kaihendry/lk/master/main.go
yanple/vk_api,5ee49ceb84f8d99c1cd779c856657ed4c1733189,.go,29359907,https://stackoverflow.com/q/29359907,https://raw.githubusercontent.com/yanple/vk_api/master/examples/martini.go
olivere/elastic,f9504bdbfe8f4b25b762440472d1e06b5a6b6027,.go,27491738,https://stackoverflow.com/q/27491738,https://raw.githubusercontent.com/olivere/elastic/release-branch.v6/get_test.go
vodolaz095/hrorm,a426ab287c7686e5fe4cbf4a3161f292558a2634,.go,28329938,https://stackoverflow.com/q/28329938,https://raw.githubusercontent.com/vodolaz095/hrorm/master/orm.go
dpritchett/go-analyst,693e400dd737109aad4951dc7c5affc6e75c4552,.go,14500756,https://stackoverflow.com/a/14500756,https://raw.githubusercontent.com/dpritchett/go-analyst/master/connection/connection.go
Jragonmiris/testevents,f6b650b1c50971211a268f0b87d42a85c6700021,.go,23706120,https://stackoverflow.com/a/23706120,https://raw.githubusercontent.com/Jragonmiris/testevents/master/testevents.go
capgelka/hapidry,6eba118f40df602e0f2085dee4a5745a1f8b0b59,.hs,35905276,https://stackoverflow.com/q/35905276,https://raw.githubusercontent.com/capgelka/hapidry/master/src/Internal/Api.hs
capitanbatata/sandbox,a2dd50b6fdc62a89c482249249a89c19df97c6d8,.hs,40105759,https://stackoverflow.com/q/40105759#comment67529569_40105759,https://raw.githubusercontent.com/capitanbatata/sandbox/master/free-monads/src/CloudFilesStream.hs
justinethier/husk-scheme,aecfe660f379734c4baa4e3cacbcca2dcfa897c8,.hs,9198140,https://stackoverflow.com/q/9198140,https://raw.githubusercontent.com/justinethier/husk-scheme/master/hs-src/Language/Scheme/FFI.hs
haroldcarr/rdf-triple-browser,e130229a39cbfbca28791a2e58342cfed4c268ba,.hs,24784883,https://stackoverflow.com/q/24784883,https://raw.githubusercontent.com/haroldcarr/rdf-triple-browser/master/experiments/haskell-threepenny-gui-experiments/src/TaldykinFRPAndEventExample.hs
haroldcarr/rdf-triple-browser,64dc01cfdc3551e13c3151f4d41926569b8f7d71,.hs,24784883,https://stackoverflow.com/q/24784883,https://raw.githubusercontent.com/haroldcarr/rdf-triple-browser/master/haskell/threepenny-based/src/RTB.hs
haroldcarr/learn-haskell-coq-ml-etc,abd2a3fe4fbfd3729c12040e1742a407e55598c0,.hs,19840751,https://stackoverflow.com/q/19840751,https://raw.githubusercontent.com/haroldcarr/learn-haskell-coq-ml-etc/master/haskell/course/2013-11-coursera-fp-odersky-but-in-haskell/FRP01QuickCheck.hs
1999/sklad,2ccc5ee2948c6f52072bd60cbba7c3a2f02fb398,.js,35682165,https://stackoverflow.com/q/35682165,https://raw.githubusercontent.com/1999/sklad/master/lib/sklad.js
capaj/ng-tools,c63df091b5046ffe6e403dec4ed5174b2ccc77d9,.js,21254635,https://stackoverflow.com/a/21254635,https://raw.githubusercontent.com/capaj/ng-tools/master/src/filters.js
capaj/ng-tools,f2c9c9da85c281c37593f4c43666aee872168902,.js,21254635,https://stackoverflow.com/a/21254635,https://raw.githubusercontent.com/capaj/ng-tools/master/dist/ng-tools.js
julmot/mark.js,2419cc3ff35dec0b256d3d4609f049aafb7426a0,.js,36155560,https://stackoverflow.com/a/36155560,https://raw.githubusercontent.com/julmot/mark.js/master/src/lib/domiterator.js
vorburger/MUI.js,43644664010ac38a60f8355c01eda5bbf3ec5449,.js,17904017,https://stackoverflow.com/a/17904017,https://raw.githubusercontent.com/vorburger/MUI.js/gh-pages/angular-addressbook/app/scripts/app.js
